name,referentNumber,nameSection,webpageUrl,adressSection,type,address,city
Technia B.V.,8095732,"TECHNIA B.V. 5.0  (4) 
Consultant in Nieuwegein, Netherlands",/url?q=http://www.technia.nl/&sa=U&ved=2ahUKEwjGocDS2-j9AhXaLkQIHVUiCikQgU96BAgLEAQ&usg=AOvVaw0kW2om67_do_fcwYcNAPz-,"Address: Ringwade 31, 3439 LM Nieuwegein, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 85 049 8161",Consultant,"Ringwade 31, 3439 LM Nieuwegein",Nieuwegein
Techni Works B.V.,60742607,"Techni Works BV 5.0  (1) 
Human resource consulting in Utrecht, Netherlands",/url?q=http://www.techni-works.nl/&sa=U&ved=2ahUKEwiHrJLS2-j9AhXLJUQIHS_8AWAQgU96BAgKEAQ&usg=AOvVaw1VklSh_3LIZ4t8vRAAZYz1,"Address: Lessinglaan 108, 3533 AZ Utrecht, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 30 290 0537",Human resource consult,"Lessinglaan 108, 3533 AZ Utrecht",Utrecht
Technetix B.V.,30109705,"Technetix B.V. 4.3  (13) 
Telecommunications equipment supplier in Veenendaal, Netherlands",/url?q=http://www.technetix.com/&sa=U&ved=2ahUKEwidz-fR2-j9AhXjJEQIHf9WARIQgU96BAgMEAQ&usg=AOvVaw1zKyiwICZqGic3eIzD23as,"Address: Kazemat 5, 3905 NR Veenendaal, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 318 585 959",Telecommunications equipment supplier,"Kazemat 5, 3905 NR Veenendaal",Veenendaal
Tech Mahindra IT Services NL,17145728,"Tech Mahindra Limited 4.4  (42) 
Software company in the Hague, Netherlands",/url?q=http://www.techmahindra.com/&sa=U&ved=2ahUKEwi49bHP2-j9AhXsJEQIHdhLApUQgU96BAgMEAQ&usg=AOvVaw3Gpxf9K2XiUAAeigUZnNMF,"Address: Maanplein 20, 2516 CK Den Haag, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 70 304 7700",Software company,"Maanplein 20, 2516 CK Den Haag",Haag
Teamleader Nederland B.V.,63326426,"Teamleader Nederland 4.3  (72) 
Software company in Amsterdam, Netherlands",/url?q=https://www.teamleader.nl/&sa=U&ved=2ahUKEwjg0OrO2-j9AhXjJEQIHf9WARIQgU96BAgMEAQ&usg=AOvVaw0LMlgMymsZyQ7ONEYyxzhB,"Address: Helmholtzstraat 61H, 1098 LE Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM Mon",Software company,"Helmholtzstraat 61H, 1098 LE Amsterdam",Amsterdam
Team6 Game Studios B.V.,65925017,"Team6 Game Studios BV 3.8  (10) 
Software company in Assen, Netherlands",/url?q=http://www.team6-games.com/&sa=U&ved=2ahUKEwjH0sDO2-j9AhVxPkQIHWd4Dl8QgU96BAgMEAQ&usg=AOvVaw2WQpAeXfKf_MnQPWItMfJR,"Address: Weiersstraat 1, 9401 ET Assen, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 592 319 092",Software company,"Weiersstraat 1, 9401 ET Assen",Assen
Team Rockstars IT B.V.,17200588,"Team Rockstars IT 4.3  (80) 
Computer consultant in 's-Hertogenbosch, Netherlands",/url?q=https://www.teamrockstars.nl/&sa=U&ved=2ahUKEwiT8rTN2-j9AhUjPEQIHep0AyMQgU96BAgLEAQ&usg=AOvVaw1MFwjYOnSFgRAxU4cY6dG9,"Address: Lekkerbeetjesstraat 8, 5211 AL 's-Hertogenbosch, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 73 615 7777",Computer consultant,"Lekkerbeetjesstraat 8, 5211 AL 's-Hertogenbosch",'s-Hertogenbosch
Team Industrial Services Europe B.V.,50321781,"Team Industrial Services 4.4  (27) 
Association or organization",/url?q=https://www.teaminc.com/&sa=U&ved=2ahUKEwixrPbM2-j9AhUdOUQIHcSUCI0QgU96BAgMEAQ&usg=AOvVaw3iRl_ia5ElimaUvGjOII-c,"Address: Oostsouburgseweg 20, 4382 NH Vlissingen, NetherlandsHours: Open 24 hoursPhone: +31 118 485 800",Association or organization,"Oostsouburgseweg 20, 4382 NH Vlissingen",Vlissingen
TE Connectivity Nederland B.V.,16015883,"TE Connectivity Nederland B.V. 4.9  (10) 
Electronics in 's-Hertogenbosch, Netherlands",/url?q=https://www.te.com/&sa=U&ved=2ahUKEwjz35PM2-j9AhV2C0QIHd1zA0MQgU96BAgMEAQ&usg=AOvVaw1xBG8Z2xpTT289jQvFgAOe,"Address: Rietveldenweg 32, 5222 AR 's-Hertogenbosch, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 73 624 6246",Electronics,"Rietveldenweg 32, 5222 AR 's-Hertogenbosch",'s-Hertogenbosch
tcf. services B.V.,50183516,"tcf. 3.8  (4) 
Corporate office",/url?q=https://www.tcfirm.nl/&sa=U&ved=2ahUKEwjklOPI2-j9AhXCKEQIHf0dC3AQgU96BAgLEAQ&usg=AOvVaw07QbfgrSsBn5YiQ_R06xhw,"Address: Cypresbaan 47, 2908 LT Capelle aan den IJssel, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 10 264 0144",Corporate office,"Cypresbaan 47, 2908 LT Capelle aan den IJssel",IJssel
TCC Global N.V.,30129285,"TCC Global N.V. 1.0  (1) 
Corporate office",/url?q=http://www.tccglobal.com/&sa=U&ved=2ahUKEwiGw4fI2-j9AhVOhu4BHQVLDjsQgU96BAgMEAQ&usg=AOvVaw17hyOhfX30dOVDewhJhyYW,"Address: Zuidplein 84, 1077 XV Amsterdam, NetherlandsPhone: +31 20 570 3400",Corporate office,"Zuidplein 84, 1077 XV Amsterdam",Amsterdam
TBRM-Engineering Solutions B.V.,17281805,"TBRM 4.7  (3) 
Engineering consultant in Geldrop, Netherlands",/url?q=http://www.tbrm.eu/&sa=U&ved=2ahUKEwi095rH2-j9AhXFI0QIHfnmC7YQgU96BAgKEAQ&usg=AOvVaw3AZsCBBqhh-ciqImKPs723,"Address: Nuenenseweg 169, 5667 KP Geldrop, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 40 851 7500",Eng,"Nuenenseweg 169, 5667 KP Geldrop",Geldrop
TaxModel International,17222402,"TaxModel International 5.0  (5) 
Software company in 's-Hertogenbosch, Netherlands",/url?q=http://www.tax-model.com/&sa=U&ved=2ahUKEwjR7s_E2-j9AhX8LUQIHdR6BGgQgU96BAgLEAQ&usg=AOvVaw0pTocYTB2mKGlv1buPD-B1,"Address: Stationsplein 12, 5211 AP 's-Hertogenbosch, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 73 800 0030",Software company,"Stationsplein 12, 5211 AP 's-Hertogenbosch",'s-Hertogenbosch
Taxand Nederland B.V.,58879765,"Taxand Netherlands 5.0  (1) 
Tax consultant in Amsterdam, Netherlands",/url?q=http://www.taxand.nl/&sa=U&ved=2ahUKEwi-k5nE2-j9AhXjI0QIHfxTBdYQgU96BAgKEAQ&usg=AOvVaw1WIhjrKPczB6dvLCHY3z3l,"Address: Jachthavenweg 124, 1081 KJ Amsterdam, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 20 435 6400",Tax consultant,"Jachthavenweg 124, 1081 KJ Amsterdam",Amsterdam
Tata Steel Nederland Technology B.V.,34083341,"Tata Steel 3.8  (99) 
Manufacturer in Velsen-Noord, Netherlands",/url?q=https://www.tatasteel.nl/&sa=U&ved=2ahUKEwis5_3A2-j9AhWWKEQIHazVBUwQgU96BAgMEAQ&usg=AOvVaw31NIw5F0KVLYT4fae-xOtk,"Address: Wenckebachstraat 1, 1951 JZ Velsen-Noord, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 251 499 111",Manufacturer,"Wenckebachstraat 1, 1951 JZ Velsen-Noord",Velsen-Noord
Tata Consultancy Services Netherlands B.V.,33237130,"Tata Consultancy Services Netherlands BV 4.5  (155) 
Computer consultant in Amsterdam, Netherlands",/url?q=https://www.tcs.com/&sa=U&ved=2ahUKEwiuiZu_2-j9AhX6J0QIHQlFAEwQgU96BAgMEAQ&usg=AOvVaw18RzgvTBlWWsWhTaUkYS5F,"Address: Gustav Mahlerplein 85-91, 1082 MS Amsterdam, Netherlands",Computer consultant,"Gustav Mahlerplein 85-91, 1082 MS Amsterdam",Amsterdam
TASS International B.V.,51391481,"Tass International B.V. 4.3  (7) 
Contractor in Helmond, Netherlands",/url?q=https://www.tassinternational.com/crash-testing&sa=U&ved=2ahUKEwjpwPi92-j9AhX1OkQIHbToDwAQgU96BAgMEAQ&usg=AOvVaw10BI_QtKKLZbzGgQ97yy34,"Address: Automotive Campus 10, 5708 JZ Helmond, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 88 827 7100",Contractor,"Automotive Campus 10, 5708 JZ Helmond",Helmond
Tarkett B.V.,18112942,"Tarkett Netherlands 4.0  (86) 
Furniture store in Waalwijk, Netherlands",/url?q=http://www.tarkett.nl/&sa=U&ved=2ahUKEwiV-I682-j9AhX0EkQIHaeECBoQgU96BAgLEAQ&usg=AOvVaw0eQoLaWILezvzy3hqXWF41,"Address: Taxandriaweg 15, 5142 PA Waalwijk, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 416 684 100",Furniture store,"Taxandriaweg 15, 5142 PA Waalwijk",Waalwijk
TANK B.V.,65889223,"TANK BV 4.8  (8) 
Interior designer in Amsterdam, Netherlands",/url?q=http://www.tank.nl/&sa=U&ved=2ahUKEwiKk5O62-j9AhU8HkQIHUopCp4QgU96BAgLEAQ&usg=AOvVaw2YxEQvdD2uaURR1maAU4KV,"Address: Rembrandtplein 17, 1017 CT Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 774 0117",Interior designer,"Rembrandtplein 17, 1017 CT Amsterdam",Amsterdam
Tanita Europe B.V.,34283024,"Tanita Europe B.V. - European Office 4.8  (61) 
Medical equipment manufacturer in Amsterdam, Netherlands",/url?q=https://tanita.eu/&sa=U&ved=2ahUKEwinm9i52-j9AhXzLUQIHSwLDD8QgU96BAgMEAQ&usg=AOvVaw2AvaajcbAVZMEZ8hPvNyVI,"Address: Hoogoorddreef 56-E, 1101 BE Amsterdam, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 6 38145285",Medical equipment manufacturer,"Hoogoorddreef 56-E, 1101 BE Amsterdam",Amsterdam
TANIQ B.V.,27291266,"TANIQ B.V. 4.0  (4) 
Design engineer in Rotterdam, Netherlands",/url?q=http://www.taniq.com/&sa=U&ved=2ahUKEwj9zKG52-j9AhXJJUQIHdbjAEQQgU96BAgJEAQ&usg=AOvVaw1z0dMRJFhtP9tC-_cmCwLT,"Address: Sydneystraat 112, 3047 BP Rotterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 10 415 6170",Design eng,"Sydneystraat 112, 3047 BP Rotterdam",Rotterdam
Tangram Architekten B.V.,33258187,"Tangram Architekten B.V. 4.2  (5) 
Architect in Amsterdam, Netherlands",/url?q=http://www.tangramarchitekten.nl/&sa=U&ved=2ahUKEwi6_e-42-j9AhVLh-4BHZDkBQAQgU96BAgKEAQ&usg=AOvVaw04AO8S8tgW1e1DefCd9PRB,"Address: Pedro de Medinalaan 3b, 1086 XK Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 676 1755",Architect,"Pedro de Medinalaan 3b, 1086 XK Amsterdam",Amsterdam
Tangelo Software B.V.,24295006,"Tangelo Software BV 5.0  (2) 
Software company in Zeist, Netherlands",/url?q=http://www.tangelo-software.com/&sa=U&ved=2ahUKEwidwsK42-j9AhUTO0QIHWJYBTQQgU96BAgLEAQ&usg=AOvVaw0DhXfQqGou2VJ04svhhEw6,"Address: De Dreef 19, 3706 BR Zeist, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 30 694 0490",Software company,"De Dreef 19, 3706 BR Zeist",Zeist
Tandartspraktijk Zilverkamp B.V.,71318097,"Tandartspraktijk Zilverkamp 3.9  (12) 
Dentist in Huissen, Netherlands",/url?q=http://www.tandartspraktijkzilverkamp.nl/&sa=U&ved=2ahUKEwj5x9622-j9AhUhM0QIHfkGDbgQgU96BAgLEAQ&usg=AOvVaw2PcVYMm0iC9AXJ-1uC1nP1,"Address: Wagenweg 10, 6852 DW Huissen, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 26 325 6286",Dentist,"Wagenweg 10, 6852 DW Huissen",Huissen
Tandartsenpraktijk Mazairac B.V.,56750692,"Tandartsenpraktijk Mazairac 4.7  (95) 
Dental clinic in the Netherlands",/url?q=http://www.tandartsmazairac.nl/&sa=U&ved=2ahUKEwi0tNiw2-j9AhXLiO4BHdpuDr4QgU96BAgKEAQ&usg=AOvVaw3z6cMy43wkoNAKeMX6J8NO,"Address: Jagersbosstraat 12, 5241 JT Rosmalen, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 73 760 0188",Dental cl,"Jagersbosstraat 12, 5241 JT Rosmalen",Rosmalen
Tandartsenpraktijk DentWork,62538802,"DentWork tandartsen 3.3  (11) 
Dentist in Workum, Netherlands",/url?q=https://www.dentworktandartsen.nl/&sa=U&ved=2ahUKEwjiuKCw2-j9AhUFJUQIHWzyAdUQgU96BAgKEAQ&usg=AOvVaw0suWGVoSXLVB2ndFuc1RBw,"Address: Hammole 13, 8711 BZ Workum, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 515 541 345",Dentist,"Hammole 13, 8711 BZ Workum",Workum
Tandartsenpost Eindhoven B.V.,77467507,"Tandartsenpost Eindhoven 3.8  (118) 
Dentist in Eindhoven, Netherlands",/url?q=http://www.tandartsenposteindhoven.nl/&sa=U&ved=2ahUKEwihmqmv2-j9AhWAhe4BHfI-CPwQgU96BAgLEAQ&usg=AOvVaw3UlY7JW6OiPrnVnLHCal1N,"Address: Aalsterweg 108, 5615 CJ Eindhoven, NetherlandsHours: Open 24 hoursPhone: +31 40 311 1915",Dentist,"Aalsterweg 108, 5615 CJ Eindhoven",Eindhoven
Tandarts Rooker Kampen B.V.,8173480,"dentist Rooker 2.4  (29) 
Dental clinic in Kampen, Overijssel, Netherlands",/url?q=http://www.tandartsrooker.nl/&sa=U&ved=2ahUKEwicqOqu2-j9AhXLPkQIHR_wA_YQgU96BAgLEAQ&usg=AOvVaw3kxcB4ikYwJrOK-y3SooWq,"Address: Europa-Allee 8B, 8265 VB Kampen, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 38 331 5288",Dental cl,"Europa-Allee 8B, 8265 VB Kampen",Kampen
Tanatex Chemicals B.V.,9032504,"Tanatex Chemicals B.V. 3.8  (8) 
Chemical plant in Ede, Netherlands",/url?q=https://tanatexchemicals.com/&sa=U&ved=2ahUKEwi-kbuu2-j9AhVbIEQIHR5QBqEQgU96BAgJEAQ&usg=AOvVaw0KE4nRKz_J5TAEVyojZ6J4,"Address: Einsteinstraat 1, 6716 AC Ede, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 318 670 911",Chemical plant,"Einsteinstraat 1, 6716 AC Ede",Ede
Tamoil Nederland B.V.,24181096,"Tamoil Nederland B.V. 3.8  (4) 
Corporate office",/url?q=https://tamoil.nl/&sa=U&ved=2ahUKEwiVma2t2-j9AhV6JUQIHf6tAd4QgU96BAgLEAQ&usg=AOvVaw3XiLY_ctArYiksAZzjTAlz,"Address: Wolweverstraat 23, 2984 CE Ridderkerk, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 88 400 7300",Corporate office,"Wolweverstraat 23, 2984 CE Ridderkerk",Ridderkerk
Tameson B.V.,72902531,"TAMESON 4.8  (388) 
Wholesaler in Eindhoven, Netherlands",/url?q=https://tameson.nl/&sa=U&ved=2ahUKEwi67Pus2-j9AhWHDkQIHY-4Ca4QgU96BAgLEAQ&usg=AOvVaw0MuLcfYg6syu-mwZsaEZB5,"Address: Videolab, Torenallee 20, 5617 BC Eindhoven, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 40 750 5795",Wholesaler,"Videolab, Torenallee 20, 5617 BC Eindhoven",Eindhoven
Talent Professionals B.V.,69509166,"Dutch Talent 5.0  (6) 
Recruiter in Amsterdam, Netherlands",/url?q=http://www.dutchtalent.nl/&sa=U&ved=2ahUKEwjXn5Cq2-j9AhVKiO4BHcN1DM4QgU96BAgKEAQ&usg=AOvVaw2ifCnV4X9t0hWBdTS9M2MH,"Address: Gatwickstraat 33, 1043 GL Amsterdam, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 85 049 7700",Recruiter,"Gatwickstraat 33, 1043 GL Amsterdam",Amsterdam
Tala B.V.,81178069,"Tala 5.0  (3) 
Modular home builder in Broekland, Netherlands",/url?q=https://tala.nl/&sa=U&ved=2ahUKEwiIw8-p2-j9AhVbI0QIHZKmA2IQgU96BAgMEAQ&usg=AOvVaw2n6CZ6azmDAul9dZA_zLXh,"Address: Van Dongenstraat 34, 8107 AG Broekland, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 88 234 7399",Modular home builder,"Van Dongenstraat 34, 8107 AG Broekland",Broekland
Takii Europe B.V.,33223242,"Takii Europe B.V. 4.4  (26) 
Seed supplier",/url?q=http://www.takii.eu/&sa=U&ved=2ahUKEwi-_tio2-j9AhXwhu4BHbV2AKsQgU96BAgLEAQ&usg=AOvVaw2PIuF6rN6j381MxWpkl-6r,"Address: Hoofdweg 19, 1424 PC De Kwakel, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 297 345 700",Seed supplier,"Hoofdweg 19, 1424 PC De Kwakel",Kwakel
Takenaka Europe GmbH - Netherlands Branch,34287134,"TAKENAKA EUROPE GmbH Netherlands Branch 5.0  (3) 
Architect in Amsterdam, Netherlands",/url?q=http://www.takenaka.eu/&sa=U&ved=2ahUKEwjPnbSo2-j9AhWmO0QIHXyYDAUQgU96BAgLEAQ&usg=AOvVaw16LmAYrXameG_3yDFq2moM,"Address: Kabelweg 21, 1014 BA Amsterdam, NetherlandsPhone: +31 20 686 6101",Architect,"Kabelweg 21, 1014 BA Amsterdam",Amsterdam
Takeda Nederland B.V.,34035387,"Takeda Nederland B.V. 5.0  (1) 
Pharmaceutical company in Hoofddorp, Netherlands",/url?q=https://www.takeda.com/nl-nl/&sa=U&ved=2ahUKEwiV2dqn2-j9AhX4LEQIHUH7DIQQgU96BAgMEAQ&usg=AOvVaw2QSPZDk2GnedQK86Y-7URS,"Address: Mercuriusplein 11, 2132 HA Hoofddorp, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 23 566 8700",Pharmaceutical company,"Mercuriusplein 11, 2132 HA Hoofddorp",Hoofddorp
Taj Indian Restaurant,57244227,"Taj Indian Restaurant 4.3  (1,009) 
Indian restaurant",/url?q=http://www.taj-indian-restaurant.nl/&sa=U&ved=2ahUKEwjN2tWl2-j9AhUbOkQIHWPMCfQQgU96BAgMEAQ&usg=AOvVaw0ZaT2izjq7iKQztMbrpI9C,"Address: Marie Heinekenplein 1, 1072 MH Amsterdam, NetherlandsHours: Open ⋅ Closes 11 PMPhone: +31 20 679 7297",Indian restaurant,"Marie Heinekenplein 1, 1072 MH Amsterdam",Amsterdam
Tacx International B.V.,27133005,"Tacx 3.0  (25) 
Manufacturer in Wassenaar, Netherlands",/url?q=https://tacx.com/&sa=U&ved=2ahUKEwi78-Sj2-j9AhUCLEQIHbymAPIQgU96BAgMEAQ&usg=AOvVaw2bhkNDhN5km4XSmOkLN9CZ,"Address: Rijksstraatweg 52, 2241 BW Wassenaar, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 70 511 9259",Manufacturer,"Rijksstraatweg 52, 2241 BW Wassenaar",Wassenaar
Tachyon Security B.V.,34108038,"Tachyon Security BV 4.5  (2) 
Computer security service in Veenendaal, Netherlands",/url?q=http://www.tachyonsecurity.eu/&sa=U&ved=2ahUKEwi3t_ui2-j9AhXTM0QIHfGwAGgQgU96BAgLEAQ&usg=AOvVaw1UHMDz05798WaH4XD2K7Hh,"Address: Ravelijn 12, 3905 NV Veenendaal, NetherlandsPhone: +31 88 560 1060",Computer security service,"Ravelijn 12, 3905 NV Veenendaal",Veenendaal
T.O.P. (Training Organisatie Personeel) B.V.,27126022,"TOP | Realizing Impact Together 5.0  (4) 
Consultant in Rotterdam, Netherlands",/url?q=http://www.top-advies.nl/&sa=U&ved=2ahUKEwjclsmg2-j9AhUdJUQIHaWJC0wQgU96BAgLEAQ&usg=AOvVaw2vErQ3FtY88nVQJ4ER-TXI,"Address: Veerhaven 10, 3016 CJ Rotterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 10 820 9868",Consultant,"Veerhaven 10, 3016 CJ Rotterdam",Rotterdam
T.EN Netherlands B.V.,27069724,"T.EN Netherlands B.V. 4.7  (46) 
Engineer in Zoetermeer, Netherlands",/url?q=http://technipenergies.com/&sa=U&ved=2ahUKEwj9_Iug2-j9AhVyIUQIHeebDuQQgU96BAgLEAQ&usg=AOvVaw38YDFi8FCcUiisvfZkYCcQ,"Address: Afrikaweg 30, 2713 AW Zoetermeer, NetherlandsHours: Closed ⋅ Opens 7:15 AM MonPhone: +31 79 329 3600",Eng,"Afrikaweg 30, 2713 AW Zoetermeer",Zoetermeer
T.E.C. (Tabata Europe Corporation) B.V.,33246239,"Tabata Europe (T.E.C. BV) 5.0  (1) 
Wholesaler in Amsterdam, Netherlands",/url?q=http://www.tusa.com/&sa=U&ved=2ahUKEwjT0s6f2-j9AhVtLUQIHUtYAQsQgU96BAgKEAQ&usg=AOvVaw0EAKFfSpmbb17BpdAJN2X-,"Address: Watervoort 2, 1046 BG Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 581 1280",Wholesaler,"Watervoort 2, 1046 BG Amsterdam",Amsterdam
Sytac Technologies B.V.,85740195,"Sytac B.V. 4.9  (21) 
Software company in Haarlem, Netherlands",/url?q=http://www.sytac.io/&sa=U&ved=2ahUKEwjVivKe2-j9AhUUie4BHT7ODGYQgU96BAgLEAQ&usg=AOvVaw3-1B5Ye9O9mk9Ixpov5bqP,"Address: Rozenstraat 1, 2011 LS Haarlem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 23 532 0932",Software company,"Rozenstraat 1, 2011 LS Haarlem",Haarlem
Sytac Digital B.V.,85740187,"Sytac B.V. 4.9  (21) 
Software company in Haarlem, Netherlands",/url?q=http://www.sytac.io/&sa=U&ved=2ahUKEwjt0rOe2-j9AhUFOUQIHYjpDtAQgU96BAgLEAQ&usg=AOvVaw1mPCC8c1NaGpH77ZPfq6CU,"Address: Rozenstraat 1, 2011 LS Haarlem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 23 532 0932",Software company,"Rozenstraat 1, 2011 LS Haarlem",Haarlem
Sytac Development B.V.,85740128,"Sytac B.V. 4.9  (21) 
Software company in Haarlem, Netherlands",/url?q=http://www.sytac.io/&sa=U&ved=2ahUKEwjIzICe2-j9AhWxMUQIHcn7C2IQgU96BAgLEAQ&usg=AOvVaw0V4eDKsJ_fJVQ2K4E4BDri,"Address: Rozenstraat 1, 2011 LS Haarlem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 23 532 0932",Software company,"Rozenstraat 1, 2011 LS Haarlem",Haarlem
Sytac B.V.,24397725,"Sytac B.V. 4.9  (21) 
Software company in Haarlem, Netherlands",/url?q=http://www.sytac.io/&sa=U&ved=2ahUKEwiOucSd2-j9AhWnIkQIHaLfCBcQgU96BAgKEAQ&usg=AOvVaw3JIPNRD_yT1UFw1bYvvG7P,"Address: Rozenstraat 1, 2011 LS Haarlem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 23 532 0932",Software company,"Rozenstraat 1, 2011 LS Haarlem",Haarlem
Systems Navigator Consultants B.V.,27264011,"Systems Navigator 4.8  (4) 
Software company in Delft, Netherlands",/url?q=http://www.systemsnavigator.com/&sa=U&ved=2ahUKEwjYgeec2-j9AhVqiO4BHaPnBWgQgU96BAgLEAQ&usg=AOvVaw2iOsNPPXmEwdaDcwPoA9Om,"Address: Elektronicaweg 25, 2628 XG Delft, NetherlandsHours: Closed ⋅ Opens 8:45 AM MonPhone: +31 15 750 1030",Software company,"Elektronicaweg 25, 2628 XG Delft",Delft
Synvina C.V.,67120199,"Synvina C.V. 5.0  (1) 
Biochemistry lab in Amsterdam, Netherlands",,"Address: Zekeringstraat 29, 1014 BV Amsterdam, Netherlands",Biochemistry lab,"Zekeringstraat 29, 1014 BV Amsterdam",Amsterdam
Syntho B.V.,77125665,"Syntho 5.0  (1) 
Software company in Amsterdam, Netherlands",/url?q=https://www.syntho.ai/&sa=U&ved=2ahUKEwjMltmZ2-j9AhXyOEQIHag_AecQgU96BAgMEAQ&usg=AOvVaw3KwKY-w-yUDB__LnAdt5sy,"Address: John M. Keynesplein 12, 1066 EP Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM Mon",Software company,"John M. Keynesplein 12, 1066 EP Amsterdam",Amsterdam
Syntegon Packaging Solutions B.V.,13007394,"Syntegon Packaging Solutions B.V. 4.9  (11) 
Mechanical engineer in Weert, Netherlands",/url?q=https://www.syntegon.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMB&sa=U&ved=2ahUKEwjEuMqY2-j9AhVhM0QIHUQhBF0QgU96BAgMEAQ&usg=AOvVaw1GdzKQTfoNeXMQ3PLAlOoR,"Address: Industriekade 43, 6001 SE Weert, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 495 574 000",Mechanical eng,"Industriekade 43, 6001 SE Weert",Weert
Synres B.V.,57505888,"Synres B.V. 4.1  (9) 
Chemical plant in the Hook of Holland, Netherlands",/url?q=http://www.synres.com/&sa=U&ved=2ahUKEwigyZGY2-j9AhXMJUQIHTYaAvMQgU96BAgKEAQ&usg=AOvVaw1IXIXhwmZiBRh6-ckE3PCk,"Address: Slachthuisweg 30, 3151 XN Hoek van Holland, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 174 315 550",Chemical plant,"Slachthuisweg 30, 3151 XN Hoek van Holland",Holland
Synopsys Netherlands B.V.,17267567,"Synopsys Netherlands 4.7  (3) 
Software company in Eindhoven, Netherlands",/url?q=http://www.synopsys.com/&sa=U&ved=2ahUKEwiXl4WX2-j9AhVbIEQIHR5QBqEQgU96BAgMEAQ&usg=AOvVaw0AuK61UWzCEJ7fuU1BMQMO,"Address: 41, HTC 41, 5656 AE Eindhoven, NetherlandsPhone: +31 40 711 5700",Software company,"41, HTC 41, 5656 AE Eindhoven",Eindhoven
Synechron Business Consulting B.V.,27257333,"Synechron Business Consulting 4.8  (5) 
Business management consultant in Amsterdam, Netherlands",,"Address: Zuidoost Toren A, De Entree 15, 1101 BH Amsterdam, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 20 697 1959",Bus,"Zuidoost Toren A, De Entree 15, 1101 BH Amsterdam",Amsterdam
syncreon Netherlands B.V.,8020381,"Syncreon Netherlands B.V. 3.6  (275) 
Logistics in Waalwijk, Netherlands",/url?q=https://www.syncreon.com/&sa=U&ved=2ahUKEwjCyKSU2-j9AhUSJEQIHbwjBs4QgU96BAgMEAQ&usg=AOvVaw10NV7SS8yHqSBDgD1dYEdp,"Address: Van Hilststraat 23, 5145 RK Waalwijk, NetherlandsPhone: +31 416 711 300",Logistics,"Van Hilststraat 23, 5145 RK Waalwijk",Waalwijk
